district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Susanville Elementary,Diamond View Middle,850 Richmond Road Susanville CA 96130-4823,NA,NA,NA,not tested,Susanville,Lassen County,40.4076316727273,-120.661499163636
Lassen County Office of Education,Lassen County Juvenile Court,1415B Chestnut Street Susanville CA 96130-8752,NA,NA,NA,not tested,Susanville,Lassen County,40.4239920723573,-120.650682319952
Lassen Union High,Lassen High,1110 Main Street Susanville CA 96130-4421,NA,NA,NA,not tested,Susanville,Lassen County,40.4167623469388,-120.654670204082
Susanville Elementary,Meadow View,1200 Paiute Lane Susanville CA 96130-4105,NA,NA,NA,not tested,Susanville,Lassen County,40.43393755,-120.663944368176
