district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Sacramento City Unified,A. M. Winn Waldorf-Inspired,3351 Explorer Drive Sacramento CA 95827-2954,12,ppb,TRUE,tested,Rancho Cordova,Sacramento County,38.5670771687897,-121.325625414546
Sacramento City Unified,Abraham Lincoln Elementary,3324 Glenmoor Drive Sacramento CA 95827-2436,NA,NA,FALSE,tested,Rancho Cordova,Sacramento County,38.5717635412768,-121.313008889095
Private,Alan Rowe Prep-College,9424 Big Horn Blvd Elk Grove  CA 95758,NA,NA,FALSE,tested,Elk Grove,Sacramento County,38.4162526882579,-121.406999180387
Sacramento City Unified,Albert Einstein Middle,9325 Mirandy Drive Sacramento CA 95826-5224,NA,NA,FALSE,tested,NA,Sacramento County,38.5484535947919,-121.349928094052
San Juan Unified,Albert Schweitzer Elementary,4350 Glenridge Drive Carmichael CA 95608-2043,NA,NA,FALSE,tested,NA,Sacramento County,38.6425584208075,-121.300276287382
Sacramento City Unified,Alice Birney Waldorf-Inspired,6251 13th Street Sacramento CA 95831-1861,NA,NA,FALSE,tested,Sacramento,Sacramento County,38.512902,-121.510019
Elverta Joint Elementary,Alpha Charter,8920 Elwyn Avenue Elverta CA 95626-9580,NA,NA,FALSE,tested,NA,Sacramento County,38.7306154707972,-121.466631311089
Elverta Joint Elementary,Alpha Charter,8920 Elwyn Avenue Elverta CA 95626-9217,NA,NA,FALSE,tested,NA,Sacramento County,38.7306154707972,-121.466631311089
Elverta Joint Elementary,Alpha Technology Middle,8920 Elwyn Avenue Elverta CA 95626-9217,NA,NA,NA,not tested,NA,Sacramento County,38.7306154707972,-121.466631311089
Natomas Unified,American Lakes Elementary,2800 Stonecreek Drive Sacramento CA 95833-1634,NA,NA,FALSE,tested,Sacramento,Sacramento County,38.618274,-121.493922
Sacramento City Unified,American Legion High (Continuation),3801 Broadway Sacramento CA 95817-3399,NA,NA,FALSE,tested,Sacramento,Sacramento County,38.547563,-121.464956
San Juan Unified,Andrew Carnegie Middle,5820 Illinois Avenue Orangevale CA 95662-4418,NA,NA,FALSE,tested,NA,Sacramento County,38.6727144761905,-121.234895
Elk Grove Unified,Anna Kirchgater Elementary,8141 Stevenson Avenue Sacramento CA 95828-6943,NA,NA,FALSE,tested,NA,Sacramento County,38.4653435925926,-121.409169901235
Dry Creek Joint Elementary,Antelope Crossing Middle,9200 Palmerson Drive Sacramento CA 95843-4616,NA,NA,FALSE,tested,NA,Sacramento County,38.717094,-121.33975
San Juan Unified,Arcade Fundamental Middle,3500 Edison Avenue Sacramento CA 95821-2710,NA,NA,NA,not tested,NA,Sacramento County,38.634023,-121.382758
San Juan Unified,Arden Middle,1640 Watt Avenue Sacramento CA 95864-2964,NA,NA,FALSE,tested,NA,Sacramento County,38.5943848,-121.381668092777
