district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
LAUSD,109TH STREET ELEMENTARY SCHOOL,"10915 S MC KINLEY AVE, LOS ANGELES,    CA 90059",NA,NA,NA,exempt,NA,NA,NA,NA
LAUSD,186TH ST SCI CNTR,"1621 W 186TH ST, GARDENA, CA 90248",NA,NA,NA,exempt,NA,NA,NA,NA
LAUSD,186TH STREET ELEMENTARY,"1581 W 186TH ST, GARDENA,        CA 90248",NA,NA,NA,exempt,NA,NA,NA,NA
LAUSD,2ND STREET ELEMENTARY,"1942 E SECOND ST, LOS ANGELES,    CA 90033",NA,NA,NA,exempt,NA,NA,NA,NA
LAUSD,31ST DIST PTSA,"17445 CANTLAY ST., LAKE BALBOA, CA 91406",NA,NA,NA,exempt,NA,NA,NA,NA
LAUSD,36TH STREET EARLY EDUCATION CENTER,"3556 S ST ANDRES PL, LOS ANGELES,    CA 90018",NA,NA,NA,exempt,NA,NA,NA,NA
LAUSD,42ND STREET ELEMENTARY,"4231 FOURTH AVE, LOS ANGELES,    CA 90008",NA,NA,NA,exempt,NA,NA,NA,NA
LAUSD,4TH STREET EARLY EDUCATION CENTER (Same Campus as 4th Street Elementary),"420 S AMALIA AVE, LOS ANGELES, CA 90022",NA,NA,NA,exempt,NA,NA,NA,NA
LAUSD,4TH STREET ELEMENTARY,"420 S AMALIA AVE, LOS ANGELES, CA 90022",NA,NA,NA,exempt,NA,NA,NA,NA
LAUSD,59TH STREET ELEMENTARY,"5939 SECOND AVE, LOS ANGELES,    CA 90043",NA,NA,NA,exempt,NA,NA,NA,NA
LAUSD,6TH AVE EARLY EDUCATION CENTER,"3124 SEVENTH AVE, LOS ANGELES,    CA 90018",NA,NA,NA,exempt,NA,NA,NA,NA
LAUSD,6TH AVENUE ELEMENTARY,"3109 SIXTH AVE, LOS ANGELES,    CA 90018",NA,NA,NA,exempt,NA,NA,NA,NA
LAUSD,7TH STREET ELEMENTARY,"1570 W SEVENTH ST, SAN PEDRO,      CA 90732",NA,NA,NA,exempt,NA,NA,NA,NA
Alum Rock Union Elementary,A. J. Dorsa Elementary,1290 Bal Harbor Drive San Jose CA 95122-1902,NA,NA,FALSE,tested,NA,NA,NA,NA
Kings Canyon Joint Unified,A. L. Conner Elementary,222 Fourth Street Orange Cove CA 93646-2111,NA,NA,NA,not tested,NA,NA,NA,NA
Newport-Mesa Unified,Abraham Lincoln Elementary,3101 Pacific View Drive Corona Del Mar CA 92625-1108,NA,NA,FALSE,tested,NA,NA,NA,NA
Santa Rosa Elementary,Abraham Lincoln Elementary,850 West Ninth Street Santa Rosa CA 95401-5349,NA,NA,NA,not tested,NA,NA,NA,NA
Desert Sands Unified,Abraham Lincoln Elementary,74-100 Rutledge Way Palm Desert CA 92260-2644,NA,NA,NA,not tested,NA,NA,NA,NA
LAUSD,ACADEMIA MODERNA @ SRES #5/ROYBAL-ALLARD ES,"3232 SATURN AVE, HUNTINGTON PRK, CA 90255",NA,NA,NA,exempt,NA,NA,NA,NA
Los Nietos,Ada S. Nelson Elementary,8140 South Vicki Drive Whittier CA 90606-3040,NA,NA,FALSE,tested,NA,NA,NA,NA
Cardiff Elementary,Ada W. Harris Elementary,1508 Windsor Road Cardiff-by-the-Sea CA 92007-1356,NA,NA,NA,not tested,NA,NA,NA,NA
Santa Maria-Bonita,Adam (William Laird) Elementary,500 West Windsor Santa Maria CA 93458-6543,NA,NA,FALSE,tested,NA,NA,NA,NA
Newport-Mesa Unified,Adams Elementary,2850 Club House Road Costa Mesa CA 92626-4705,NA,NA,FALSE,tested,NA,NA,NA,NA
Riverbank Unified,Adelante High,6801 Seventh Street Riverbank CA 95367,NA,NA,FALSE,tested,NA,NA,NA,NA
Jurupa Unified,Adult Alternative Education,4041 Pacific Avenue Jurupa Valley CA 92509-7251,NA,NA,NA,not tested,NA,NA,NA,NA
Upland Unified,Adult Education,1558 West Ninth Street Upland CA 91786,NA,NA,NA,not tested,NA,NA,NA,NA
Jefferson Union High,Adult Education Division,699 Serramonte Boulevard Suite 111 Daly City CA 94015-3219,NA,NA,FALSE,tested,NA,NA,NA,NA
Santa Ana Unified,Advanced Learning Academy,335 East Walnut Avenue Santa Ana CA 92701,NA,NA,FALSE,tested,NA,NA,NA,NA
Private,Adventist Christian School,22751 Bray Rd Willits CA 95490,NA,NA,FALSE,tested,NA,NA,NA,NA
Garden Grove Unified,Agnes Ware Stanley Elementary,12201 Elmwood Avenue Garden Grove CA 92840-3439,NA,NA,FALSE,tested,NA,NA,NA,NA
Las Virgenes Unified,Agoura High,28545 West Driver Avenue Agoura CA 91301-3335,NA,NA,NA,not tested,NA,NA,NA,NA
Palm Springs Unified,Agua Caliente Elementary,30-800 San Luis Rey Plaza Cathedral City CA 92234-6045,NA,NA,NA,not tested,NA,NA,NA,NA
Atwater Elementary,Aileen Colburn Elementary,2201 Heller Street Atwater CA 95301-3438,NA,NA,FALSE,tested,NA,NA,NA,NA
Central Union Elementary,Akers Elementary,Constellation Avenue N.A.S. Lemoore CA 93245-0001,NA,NA,NA,not tested,NA,NA,NA,NA
Fresno Unified,Akira Yokomi Elementary,2323 East McKenzie Fresno CA 93701-2221,NA,NA,FALSE,tested,NA,NA,NA,NA
Alameda County Office of Education,Alameda County Juvenile Hall/Court,2500 Fairmont Avenue San Leandro CA 94578-1005,NA,NA,NA,not tested,NA,NA,NA,NA
Downey Unified,Alameda Elementary,8613 East Alameda Street Downey CA 90242-2620,NA,NA,FALSE,tested,NA,NA,NA,NA
Vallecito Union,Albert A. Michelson Elementary,196 Pennsylvania Gulch Road Murphys CA 95247-9521,NA,NA,FALSE,tested,NA,NA,NA,NA
LAUSD,ALBION EARLY EDUCATION CENTER,"348 S AVE 18, LOS ANGELES,    CA 90031",NA,NA,NA,exempt,NA,NA,NA,NA
Los Angeles Unified,Albion Street Elementary,322 South Avenue 18 Los Angeles CA 90031-2507,NA,NA,NA,not tested,NA,NA,NA,NA
Stockton Unified,Alexander Hamilton Elementary,2245 East 11th Street Stockton CA 95206-3606,NA,NA,FALSE,tested,NA,NA,NA,NA
Alhambra Unified,Alhambra High,101 South Second Street Alhambra CA 91801-3716,5.6,ppb,TRUE,tested,NA,NA,NA,NA
Azusa Unified,Alice M. Ellington Elementary,5034 North Clydebank Covina CA 91722-1115,NA,NA,FALSE,tested,NA,NA,NA,NA
Empire Union Elementary,Alice N. Stroud Elementary,815 Frazine Road Modesto CA 95357-0255,8.3,ppb,TRUE,tested,NA,NA,NA,NA
San Bruno Park Elementary,Allen (Decima M.) Elementary,875 West Angus Avenue San Bruno CA 94066-3489,NA,NA,NA,not tested,NA,NA,NA,NA
Los Angeles Unified,Alliance College-Ready Academy High 16,1552 W. Rockwood Street Los Angeles CA 90026-5520,NA,NA,NA,not tested,NA,NA,NA,NA
Los Angeles Unified,Alliance College-Ready Middle Academy 5,211 South Ave 20 Los Angeles CA 90031-2508,NA,NA,FALSE,tested,NA,NA,NA,NA
Los Angeles Unified,Alliance Marc & Eva Stern Math and Science,5151 State University Drive Lot 2 Los Angeles CA 90032-4226,NA,NA,NA,not tested,NA,NA,NA,NA
Los Angeles Unified,Alliance Ouchi-O'Donovan 6-12 Complex,5356 South Fifth Avenue Los Angeles CA 90043-2622,NA,NA,FALSE,tested,NA,NA,NA,NA
Los Angeles Unified,Alliance Susan and Eric Smidt Technology High,211 South Avenue 20 Los Angeles CA 90031-2508,NA,NA,FALSE,tested,NA,NA,NA,NA
LAUSD,ALLIANCE TECHNOLOGY & MATH SCIENCE HS @ SANDRA SOTOMAYOR LEARNING ACADEMY (FMR:CRHS #13E),"2050 NORTH SAN FERNANDO RD, LOS ANGELES, CA 90011",NA,NA,NA,exempt,NA,NA,NA,NA
LAUSD,Alliance Ted K. Tajima High School,1552 West Rockwood Street Los Angeles CA 90026,NA,NA,FALSE,tested,NA,NA,NA,NA
Alpaugh Unified,Alpaugh Elementary,5313 Rd 39 Alpaugh CA 93201-0009,NA,NA,NA,not tested,NA,NA,NA,NA
Alpaugh Unified,Alpaugh Junior-Senior High,5313 Road 39 Alpaugh CA 93201-0009,NA,NA,NA,not tested,NA,NA,NA,NA
Pleasant Ridge Union Elementary,Alta Sierra Elementary,16607 Annie Drive Grass Valley CA 95949-7147,10.1,ppb,TRUE,tested,NA,NA,NA,NA
Union Elementary,Alta Vista Elementary,200 Blossom Valley Road Los Gatos CA 95032-3809,NA,NA,FALSE,tested,NA,NA,NA,NA
Vista Unified,Alta Vista High (Continuation),1575 Bonair Drive Vista CA 92084-3572,NA,NA,FALSE,tested,NA,NA,NA,NA
Lammersville Joint Unified,Altamont Elementary,452 West Saint Francis Avenue Mountain House CA 95391-1190,NA,NA,NA,not tested,NA,NA,NA,NA
Exeter Unified,Alternative Education,1107 E Rocky Hill Dr Exeter CA 93221,NA,NA,NA,not tested,NA,NA,NA,NA
Alameda Unified,Amelia Earhart Elementary,400 Packet Landing Road Alameda CA 94502-6534,NA,NA,FALSE,tested,NA,NA,NA,NA
Desert Sands Unified,Amelia Earhart Elementary School of International Studies,45-250 Dune Palms Road Indio CA 92201-0901,NA,NA,NA,not tested,NA,NA,NA,NA
Oakland Unified,American Indian Model Schools,171 twelfth street Oakland CA 94607-4900,NA,NA,FALSE,tested,NA,NA,NA,NA
Private,American International Montessori School,3339 Martin Luther King Jr. Way Berkeley CA 94703,NA,NA,FALSE,tested,NA,NA,NA,NA
Black Oak Mine Unified,American River Charter,6620 Wentworth Springs Road Georgetown CA 95634-9701,NA,NA,NA,not tested,NA,NA,NA,NA
