district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Southern Humboldt Joint Unified,Agnes J. Johnson  Elementary,73 School Road Weott CA 95571-0280,NA,NA,FALSE,tested,NA,Humboldt County,40.3213620934115,-123.925004105459
Eureka City Schools,Alice Birney Elementary,717 South Avenue Eureka CA 95503-5041,NA,NA,FALSE,tested,Eureka,Humboldt County,40.777503,-124.17910989899
Private,Arcata Christian,1700 Union Street Arcata CA 95521,NA,NA,FALSE,tested,Arcata,Humboldt County,40.8740094,-124.0752953
Arcata Elementary,Arcata Elementary,2400 Baldwin Street Arcata CA 95521-5168,NA,NA,FALSE,tested,Arcata,Humboldt County,40.8823865,-124.0863315
Northern Humboldt Union High,Arcata High,1720 M Street Arcata CA 95521-5741,NA,NA,FALSE,tested,Arcata,Humboldt County,40.875587,-124.089782
Eureka City Schools,Catherine L. Zane Middle,2155 S Street Eureka CA 95501-3140,NA,NA,FALSE,tested,Eureka,Humboldt County,40.7878168888889,-124.148956444444
Arcata Elementary,Coastal Grove Charter,1897 S Street Arcata CA 95521-5474,NA,NA,FALSE,tested,Arcata,Humboldt County,40.87696624,-124.0986303
Cutten Elementary,Cutten Elementary,4182 Walnut Drive Eureka CA 95503-6223,NA,NA,FALSE,tested,Eureka,Humboldt County,40.7665108181818,-124.143080454545
McKinleyville Union Elementary,Dow's Prairie Elementary,3940 Dows Prairie Road McKinleyville CA 95519-9444,NA,NA,NA,not tested,NA,Humboldt County,40.9769053559819,-124.095948618975
Rio Dell Elementary,Eagle Prairie Elementary,95 Center Street Rio Dell CA 95562-1323,NA,NA,NA,not tested,Rio Dell,Humboldt County,40.501647902439,-124.105873341463
Humboldt County Office of Education,Eel River Community,2292 Newburg Road Fortuna CA 95540-2814,NA,NA,NA,not tested,NA,Humboldt County,40.5894231136172,-124.142015966124
Eureka City Schools,Eureka Senior High,1915 J Street Eureka CA 95501-3052,NA,NA,FALSE,tested,Eureka,Humboldt County,40.78977,-124.158785857143
Ferndale Unified,Ferndale Elementary,164 Shaw Avenue Ferndale CA 95536-9781,NA,NA,FALSE,tested,Ferndale,Humboldt County,40.5779584444444,-124.26670559596
Ferndale Unified,Ferndale High,1231 Main Street Ferndale CA 95536-9416,NA,NA,FALSE,tested,Ferndale,Humboldt County,40.584493,-124.25977
Fortuna Union High,Fortuna Adult Education,379 12th Street Fortuna CA 95540-2357,NA,NA,NA,not tested,NA,Humboldt County,40.5943979387755,-124.15437522449
Fortuna Elementary,Fortuna Middle,843 L Street Fortuna CA 95540-1921,NA,NA,NA,not tested,NA,Humboldt County,40.5970815714286,-124.158300142857
Fortuna Union High,Fortuna Union High,379 12th Street Fortuna CA 95540-2398,NA,NA,NA,not tested,NA,Humboldt County,40.5943979387755,-124.15437522449
