district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Kentfield Elementary,Adaline E. Kent Middle,800 College Avenue Kentfield CA 94904-2549,NA,NA,FALSE,tested,NA,Marin County,37.95269165,-122.547638311275
Kentfield Elementary,Anthony G. Bacich Elementary,699 Sir Francis Drake Boulevard Kentfield CA 94904-1639,NA,NA,FALSE,tested,NA,Marin County,37.9536754,-122.5443723
San Rafael City Elementary,Bahia Vista Elementary,125 Bahia Way San Rafael CA 94901-4502,NA,NA,FALSE,tested,San Rafael,Marin County,37.966624237562,-122.498272306981
Reed Union Elementary,Bel Aire Elementary,277 Karen Way Tiburon CA 94920-2044,NA,NA,NA,not tested,NA,Marin County,37.9021061914146,-122.498038633886
Private,Bolinas Stinson Elementary School,3805 Shoreline Hwy Stinson Beach CA 94970,NA,NA,FALSE,tested,NA,Marin County,37.8995727,-122.64294
Bolinas-Stinson Union,Bolinas-Stinson Elementary,125 Olema-Bolinas Road Bolinas CA 94924-9747,8.6,ppb,TRUE,tested,,Marin County,37.919155490163,-122.69318922379
Ross Valley Elementary,Brookside Elementary,116 Butterfield Road San Anselmo CA 94960-1562,NA,NA,FALSE,tested,NA,Marin County,37.9909700437772,-122.576741221505
San Rafael City Elementary,Coleman Elementary,800 Belle Ave San Rafael CA 94901-2227,NA,NA,FALSE,tested,San Rafael,Marin County,37.979424,-122.519334
Larkspur-Corte Madera,Cove,330 Golden Hind Passage Corte Madera CA 94925-1914,NA,NA,FALSE,tested,NA,Marin County,37.9220877372618,-122.498305966476
Ross Valley Elementary,Deer Park Elementary School,199 Porteous Ave Fairfax CA 94930,6,ppb,TRUE,tested,NA,Marin County,37.976366,-122.590639
Reed Union Elementary,Del Mar Middle,105 Avenida Miraflores Tiburon CA 94920-1414,NA,NA,NA,not tested,NA,Marin County,37.8928244077881,-122.482247200714
Mill Valley Elementary,Edna Maguire Elementary,80 Lomita Drive Mill Valley CA 94941-1464,NA,NA,FALSE,tested,NA,Marin County,37.9073702891921,-122.524046987068
San Rafael City Elementary,Glenwood Elementary,25 Castlewood Dr San Rafael CA 94901-2524,NA,NA,FALSE,tested,San Rafael,Marin County,37.9855876088732,-122.476919683168
Larkspur-Corte Madera,Hall Middle,200 Doherty Drive Larkspur CA 94939-1532,NA,NA,FALSE,tested,Larkspur,Marin County,37.938134,-122.526519
Novato Unified,Hamilton Meadow Park,5530 Nave Drive Novato CA 94949-6435,NA,NA,NA,not tested,NA,Marin County,38.0533849015494,-122.530332525867
San Rafael City Elementary,James B. Davidson Middle,280 Woodland Ave San Rafael CA 94901-5046,NA,NA,FALSE,tested,San Rafael,Marin County,37.9649415469143,-122.526732849128
Lagunitas Elementary,Lagunitas Elementary,One Lagunitas School Road San Geronimo CA 94963-0308,NA,NA,FALSE,tested,NA,Marin County,38.0187036,-122.6749571
San Rafael City Elementary,Laurel Dell Elementary,225 Woodland Ave San Rafael CA 94901-6017,NA,NA,FALSE,tested,San Rafael,Marin County,37.9647774107595,-122.52689351962
Novato Unified,Loma Verde Elementary,399 Alameda de La Loma Novato CA 94949-5935,NA,NA,NA,not tested,NA,Marin County,38.0661778,-122.5507521
Novato Unified,Lu Sutton Elementary,1800 Center Road Novato CA 94947-2975,NA,NA,FALSE,tested,NA,Marin County,38.105494,-122.58659
Novato Unified,Lynwood Elementary,1320 Lynwood Drive Novato CA 94947-4629,NA,NA,FALSE,tested,NA,Marin County,38.0858565918367,-122.561418653061
Ross Valley Elementary,Manor Elementary,150 Oak Manor Drive Fairfax CA 94930-1013,NA,NA,FALSE,tested,NA,Marin County,37.9985972218467,-122.594014057247
Marin County ROP,Marin County ROP,1111 Las Gallinas Avenue San Rafael CA 94913-1843,NA,NA,NA,not tested,San Rafael,Marin County,38.0133614080118,-122.549526681731
Marin County Office of Education,Marin County Special Education,1111 Las Gallinas Ave San Rafael CA 94913-1843,NA,NA,NA,not tested,San Rafael,Marin County,38.0133614080118,-122.549526681731
Novato Unified,Marin Oaks High,720 Diablo Avenue Novato CA 94947-4004,NA,NA,FALSE,tested,NA,Marin County,38.0985836158864,-122.576449987798
Private,Mark Day School,39 Trellis Drive San Rafael CA 94903,NA,NA,FALSE,tested,San Rafael,Marin County,38.006975,-122.5548784142
Mill Valley Elementary,Mill Valley Middle,425 Sycamore Avenue Mill Valley CA 94941-2231,NA,NA,FALSE,tested,NA,Marin County,37.8966129780652,-122.529025042557
