district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Modoc Joint Unified,Alturas Elementary,809 West 8th Street Alturas CA 96101-3116,NA,NA,FALSE,tested,Alturas,Modoc County,41.4908952624821,-120.557703580067
Modoc Joint Unified,Modoc Community Adult,802 North East Street Alturas CA 96101,NA,NA,FALSE,tested,Alturas,Modoc County,41.4910993877551,-120.539912285714
Modoc Joint Unified,Modoc High,900 North Main Street Alturas CA 96101-3376,NA,NA,FALSE,tested,Alturas,Modoc County,41.488601,-120.542501
Modoc Joint Unified,Modoc Middle,906 West Fourth Street Alturas CA 96101-3716,NA,NA,FALSE,tested,NA,NA,NA,NA
