district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Weaver Union,Farmdale Elementary,100 Winder Avenue Merced CA 95341-8855,NA,NA,FALSE,tested,Merced,Merced County,37.2771639,-120.4778991
Weaver Union,Pioneer Elementary,2950 Gerard Avenue Merced CA 95341-5433,NA,NA,FALSE,tested,NA,Merced County,37.3881272,-120.6141235
Weaver Union,Weaver Middle,3076 East Childs Avenue Merced CA 95341-9583,NA,NA,FALSE,tested,Merced,Merced County,37.28977295,-120.431239694122
