district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Las Virgenes Unified,Agoura High,28545 West Driver Avenue Agoura CA 91301-3335,NA,NA,NA,not tested,NA,NA,NA,NA
Las Virgenes Unified,Alice C. Stelle Middle,22450 Mulholland Highway Calabasas CA 91302-5180,NA,NA,NA,not tested,Calabasas,Los Angeles County,34.1428335,-118.6142054
Las Virgenes Unified,Arthur E. Wright Middle,4029 North Las Virgenes Road Calabasas CA 91302-1927,NA,NA,NA,not tested,Calabasas,Los Angeles County,34.1324502448568,-118.703423852337
Las Virgenes Unified,Bay Laurel Elementary,24740 Paseo Primario Calabasas CA 91302-3071,NA,NA,NA,not tested,Calabasas,Los Angeles County,34.139378306766,-118.651830153715
Las Virgenes Unified,Buttercup Pre-School,6098 Reyes Adobe Rd Agoura Hills CA 91301-1423,NA,NA,NA,not tested,Agoura Hills,Los Angeles County,34.1472091,-118.7811176
Las Virgenes Unified,Calabasas High,22855 West Mulholland Highway Calabasas CA 91302-2047,NA,NA,FALSE,tested,Calabasas,Los Angeles County,34.1390244,-118.6266077
Las Virgenes Unified,Indian Hills Continuation High,28545 West Driver Ave Agoura CA 91301-3335,NA,NA,NA,not tested,NA,NA,NA,NA
Las Virgenes Unified,Las Virgenes Adult,4111 North Las Virgenes Road Calabasas CA 91302-1929,NA,NA,NA,not tested,Calabasas,Los Angeles County,34.1336275294622,-118.703154707253
Las Virgenes Unified,Lindero Canyon Middle,5844 North Larboard Lane Agoura CA 91301-1423,NA,NA,NA,not tested,Agoura Hills,Los Angeles County,34.1572850421817,-118.78635817868
Las Virgenes Unified,Lupin Hill Elementary,26210 Adamor Road Calabasas CA 91302-1006,NA,NA,NA,not tested,Calabasas,Los Angeles County,34.161613,-118.698556
Las Virgenes Unified,Mariposa School of Global Education,6050 North Calmfield Avenue Agoura CA 91301-2104,NA,NA,NA,not tested,Agoura Hills,Los Angeles County,34.1616046376889,-118.756257320904
Las Virgenes Unified,Round Meadow Elementary,5151 Round Meadow Road Calabasas CA 91302-1161,NA,NA,FALSE,tested,NA,NA,NA,NA
Las Virgenes Unified,Sumac Elementary,6050 North Calmfield Ave Agoura CA 91301-2104,NA,NA,NA,not tested,Agoura Hills,Los Angeles County,34.1616046376889,-118.756257320904
Las Virgenes Unified,White Oak Elementary,31761 West Village School Road Westlake Village CA 91361-4502,NA,NA,NA,not tested,Westlake Village,Los Angeles County,34.1440205,-118.814000888026
Las Virgenes Unified,Yerba Buena Elementary,6098 Reyes Adobe Road Agoura Hills CA 91301-2105,NA,NA,NA,not tested,Agoura Hills,Los Angeles County,34.1472091,-118.7811176
