district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Bonsall Unified,Bonsall Elementary,31555 Old River Road Bonsall CA 92003-5112,NA,NA,NA,not tested,NA,San Diego County,33.287173,-117.219226
Bonsall Unified,Bonsall High,7350 West Lilac Road Bonsall CA 92003-4316,NA,NA,NA,not tested,NA,San Diego County,33.297398,-117.175002
Bonsall Unified,Bonsall West Elementary,5050 El Mirlo Drive Oceanside CA 92057-2704,NA,NA,NA,not tested,Oceanside,San Diego County,33.264143,-117.292342
Bonsall Unified,Norman L. Sullivan Middle,7350 West Lilac Road Bonsall CA 92003-5112,NA,NA,NA,not tested,NA,San Diego County,33.297398,-117.175002
Bonsall Unified,Pathways Academy Charter,31505 Old River Road Bonsall CA 92003-3614,NA,NA,NA,not tested,NA,San Diego County,33.2860359172468,-117.220576223094
